ID;Vorname;Nachname;Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Bayern München;GOALKEEPER;4500000;182;2.8
pl-k00030860;Philipp;Tschauner;Tschauner;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00030961;Philipp;Pentke;Pentke;TSG Hoffenheim;GOALKEEPER;800000;18;2.5
pl-k00033610;Kevin-Prince;Boateng;Boateng;Hertha BSC;MIDFIELDER;2200000;0;0.0
pl-k00037056;Tobias;Sippel;Sippel;Bor. Mönchengladbach;GOALKEEPER;700000;23;2.63
pl-k00039161;Sven;Ulreich;Ulreich;Bayern München;GOALKEEPER;800000;0;0.0
pl-k00039183;Lars;Stindl;Stindl;Bor. Mönchengladbach;MIDFIELDER;5500000;178;2.98
pl-k00039186;Sascha;Burchert;Burchert;SpVgg Greuther Fürth;GOALKEEPER;1800000;0;0.0
pl-k00039245;Oliver;Baumann;Baumann;TSG Hoffenheim;GOALKEEPER;3000000;153;2.89
pl-k00039317;Thomas;Müller;Müller;Bayern München;MIDFIELDER;7700000;224;2.82
pl-k00039677;Daniel;Brosinski;Brosinski;1. FSV Mainz 05;DEFENDER;1400000;22;3.88
pl-k00040152;Mats;Hummels;Hummels;Borussia Dortmund;DEFENDER;4200000;139;3.14
pl-k00040709;Adam;Szalai;Szalai;1. FSV Mainz 05;FORWARD;1200000;15;3.89
pl-k00040780;Manuel;Riemann;Riemann;VfL Bochum;GOALKEEPER;2000000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Eintracht Frankfurt;GOALKEEPER;700000;0;0.0
pl-k00041678;Max;Kruse;Kruse;1. FC Union Berlin;FORWARD;3500000;102;3.33
pl-k00041690;Manuel;Gulde;Gulde;SC Freiburg;DEFENDER;2200000;74;3.37
pl-k00041701;Danny;Blum;Blum;VfL Bochum;MIDFIELDER;1400000;0;0.0
pl-k00041708;Patrick;Herrmann;Herrmann;Bor. Mönchengladbach;FORWARD;2600000;25;3.89
pl-k00042063;Julian;Baumgartlinger;Baumgartlinger;Bayer 04 Leverkusen;MIDFIELDER;2300000;66;3.0
pl-k00042122;Kevin;Trapp;Trapp;Eintracht Frankfurt;GOALKEEPER;2800000;142;2.98
pl-k00042271;Yann;Sommer;Sommer;Bor. Mönchengladbach;GOALKEEPER;3600000;133;2.98
pl-k00042522;Stevan;Jovetic;Jovetic;Hertha BSC;FORWARD;2200000;0;0.0
pl-k00042607;Eric Maxim;Choupo-Moting;Choupo-Moting;Bayern München;FORWARD;2500000;25;3.89
pl-k00043169;Nils;Petersen;Petersen;SC Freiburg;FORWARD;2200000;59;3.75
pl-k00043253;Tony;Jantschke;Jantschke;Bor. Mönchengladbach;DEFENDER;1400000;13;3.33
pl-k00043510;Robert;Tesche;Tesche;VfL Bochum;MIDFIELDER;1700000;0;0.0
pl-k00043607;Philipp;Klement;Klement;VfB Stuttgart;MIDFIELDER;1300000;20;3.8
pl-k00043627;Marwin;Hitz;Hitz;Borussia Dortmund;GOALKEEPER;1000000;56;3.34
pl-k00044089;Axel;Witsel;Witsel;Borussia Dortmund;MIDFIELDER;3200000;28;3.5
pl-k00044372;Peter;Pekarik;Pekarik;Hertha BSC;DEFENDER;1600000;74;3.38
pl-k00045016;Marcel;Schmelzer;Schmelzer;Borussia Dortmund;DEFENDER;1000000;0;0.0
pl-k00045200;Daniel;Didavi;Didavi;VfB Stuttgart;MIDFIELDER;2000000;53;3.5
pl-k00045202;Sebastian;Rudy;Rudy;TSG Hoffenheim;MIDFIELDER;1800000;43;3.65
pl-k00046276;Havard;Nordtveit;Nordtveit;TSG Hoffenheim;DEFENDER;1000000;18;3.5
pl-k00046371;Rune;Jarstein;Jarstein;Hertha BSC;GOALKEEPER;800000;32;3.06
pl-k00046396;Stefan;Ilsanker;Ilsanker;Eintracht Frankfurt;MIDFIELDER;1400000;27;3.85
pl-k00046429;Marco;Reus;Reus;Borussia Dortmund;MIDFIELDER;6500000;134;3.28
pl-k00047579;Nicolas;Höfler;Höfler;SC Freiburg;MIDFIELDER;1800000;57;3.6
pl-k00047828;Makoto;Hasebe;Hasebe;Eintracht Frankfurt;DEFENDER;2200000;75;3.31
pl-k00048288;Daniel;Ginczek;Ginczek;VfL Wolfsburg;FORWARD;1500000;8;4.5
pl-k00048418;Sebastian;Rode;Rode;Eintracht Frankfurt;MIDFIELDER;2400000;69;3.28
pl-k00048635;Nico;Schulz;Schulz;Borussia Dortmund;DEFENDER;1800000;9;3.92
pl-k00048721;Benjamin;Hübner;Hübner;TSG Hoffenheim;DEFENDER;1800000;0;0.0
pl-k00048996;Ermin;Bicakcic;Bicakcic;TSG Hoffenheim;DEFENDER;1500000;15;2.75
pl-k00049002;Andreas;Voglsammer;Voglsammer;1. FC Union Berlin;FORWARD;1700000;26;3.77
pl-k00049258;Timo;Horn;Horn;1. FC Köln;GOALKEEPER;2800000;174;2.93
pl-k00049869;Michael;Esser;Esser;VfL Bochum;GOALKEEPER;800000;0;0.0
pl-k00049871;Andreas;Luthe;Luthe;1. FC Union Berlin;GOALKEEPER;2000000;129;3.06
pl-k00050237;Timothy;Chandler;Chandler;Eintracht Frankfurt;DEFENDER;1500000;7;4.5
pl-k00050379;Jan;Moravek;Moravek;FC Augsburg;MIDFIELDER;1000000;4;3.75
pl-k00050405;Daniel;Caligiuri;Caligiuri;FC Augsburg;MIDFIELDER;1900000;58;3.81
pl-k00050433;André;Hahn;Hahn;FC Augsburg;MIDFIELDER;1800000;65;3.79
pl-k00051449;Amin;Younes;Younes;Eintracht Frankfurt;MIDFIELDER;3000000;101;3.0
pl-k00051570;Robert;Lewandowski;Lewandowski;Bayern München;FORWARD;10000000;332;2.5
pl-k00051641;Roman;Bürki;Bürki;Borussia Dortmund;GOALKEEPER;2500000;79;3.05
pl-k00051660;Admir;Mehmedi;Mehmedi;VfL Wolfsburg;MIDFIELDER;1700000;34;3.35
pl-k00054252;Marvin;Plattenhardt;Plattenhardt;Hertha BSC;DEFENDER;1600000;30;3.5
pl-k00054640;Danny;da Costa;da Costa;Eintracht Frankfurt;DEFENDER;1700000;27;3.7
pl-k00054657;Kevin;Vogt;Vogt;TSG Hoffenheim;DEFENDER;2200000;53;3.41
pl-k00054730;Steven;Zuber;Zuber;Eintracht Frankfurt;MIDFIELDER;1600000;11;4.06
pl-k00054894;Simon;Zoller;Zoller;VfL Bochum;FORWARD;1800000;0;0.0
pl-k00054958;Josuha;Guilavogui;Guilavogui;VfL Wolfsburg;MIDFIELDER;1900000;48;2.88
pl-k00057241;Rani;Khedira;Khedira;1. FC Union Berlin;MIDFIELDER;1600000;21;3.89
pl-k00057369;Ishak;Belfodil;Belfodil;TSG Hoffenheim;FORWARD;2000000;4;4.06
pl-k00057602;Karim;Bellarabi;Bellarabi;Bayer 04 Leverkusen;FORWARD;2000000;19;3.78
pl-k00057605;Tobias;Strobl;Strobl;FC Augsburg;MIDFIELDER;1300000;10;3.93
pl-k00057894;Kevin;Kampl;Kampl;RB Leipzig;MIDFIELDER;3200000;82;3.26
pl-k00057925;Lukas;Hradecky;Hradecky;Bayer 04 Leverkusen;GOALKEEPER;3400000;140;2.93
pl-k00058003;Mitchell;Weiser;Weiser;Bayer 04 Leverkusen;DEFENDER;1400000;15;3.33
pl-k00058007;Emre;Can;Can;Borussia Dortmund;MIDFIELDER;3200000;67;3.42
pl-k00058107;Jonathan;Schmid;Schmid;SC Freiburg;DEFENDER;2200000;60;3.57
pl-k00058192;Fabian;Klos;Klos;Arminia Bielefeld;FORWARD;1600000;21;4.03
