Abouchabaka;Fürth;MIT;0,3;;
Abu Hanna;Magdeburg;ABW;0,4;-2;4
Adamyan;Regensburg;STU;0,6;112;3,3
Al Ghaddioui;Regensburg;STU;0,3;4;4
Albutat;Duisburg;MIT;0,4;14;3,7
Allagui;St. Pauli;STU;0,5;-3;4,1
Altintas;HSV;STU;0,2;;
Ambrosius;HSV;ABW;0,2;;
Ananou;Ingolstadt;ABW;0,2;0;4
Andersson;Union;STU;0,7;92;3,5
Andrich;Heidenheim;MIT;0,3;;
Antwi-Adjej;Paderborn;MIT;0,5;;
Aosman;Dresden;MIT;0,5;28;3,7
Arp;HSV;STU;1;;
Atanga;Fürth;MIT;0,4;;
Atik;Dresden;MIT;0,4;-5;4,3
Atilgan;Dresden;STU;0,1;;
Avevor;St. Pauli;ABW;0,5;33;3,8
Awuku;Kiel;STU;0,1;0;
Aycicek;Fürth;MIT;0,4;12;3,9
Baack;Bochum;ABW;0,1;0;
Bader;Köln;ABW;0,4;;
Ballas;Dresden;ABW;0,6;85;3,4
Bandowski;Bochum;MIT;0,3;20;2
Banggaard;Darmstadt;ABW;0,4;0;4,2
Bartels;Köln;TOR;0,1;;
Bates;HSV;ABW;0,5;;
Baumgart;Aue;MIT;0,3;;
Beck;Magdeburg;STU;0,6;;
Beermann;Heidenheim;ABW;0,6;60;3,4
Behrendt;Bielefeld;ABW;0,5;63;3,1
Behrens;Sandhausen;STU;0,4;;
Behrens;HSV;TOR;0,1;;
Benatelli;Dresden;MIT;0,6;70;3,3
Benschop;Ingolstadt;STU;0,5;;
Berisha;Magdeburg;STU;0,7;;
Berko;Dresden;MIT;0,5;56;3,6
Bertels;Paderborn;MIT;0,3;;
Bertram;Aue;STU;0,6;66;3,3
Bisseck;Köln;ABW;0,3;;
Blomeyer;Duisburg;ABW;0,2;-13;4,8
Boeder;Paderborn;ABW;0,5;;
Bomheuer;Duisburg;ABW;0,6;75;3,5
Börner;Bielefeld;ABW;0,7;93;3,3
Boss;Dresden;TOR;0,4;;
Bouhaddouz;St. Pauli;STU;0,6;-5;4,2
Boyd;Darmstadt;STU;0,5;32;4
Brandy;Bielefeld;STU;0,3;15;
Bregerie;Ingolstadt;ABW;0,6;41;3,5
Breitfeld;Ingolstadt;MIT;0,1;;
Breitkreuz;Aue;ABW;0,5;34;3,5
Brendieck;Duisburg;TOR;0,1;;
Brodersen;St. Pauli;TOR;0,1;0;
Brüggemeier;Paderborn;TOR;0,1;;
Brunner;Bielefeld;ABW;0,6;;
Brunst;Magdeburg;TOR;0,1;;
Buballa;St. Pauli;ABW;0,5;17;3,9
Buchtmann;St. Pauli;MIT;0,7;79;3,1
Bülter;Magdeburg;STU;0,2;;
Bunjaku;Aue;STU;0,3;15;3,8
Buntic;Ingolstadt;TOR;0,1;0;
Burchert;Fürth;TOR;0,6;107;3,1
Busch;Heidenheim;ABW;0,4;23;3,5
Busk;Union;TOR;0,6;92;3,1
Butzen;Magdeburg;ABW;0,5;;
Cacutalua;Aue;ABW;0,5;79;3,2
Caligiuri;Fürth;ABW;0,5;82;3,5
Celozzi;Bochum;ABW;0,5;44;3,6
Cenk Sahin;St. Pauli;MIT;0,5;21;3,9
Chahed;Magdeburg;MIT;0,2;;
Christiansen;Bielefeld;MIT;0,5;6;4
Clemens;Köln;MIT;0,7;;
Cohen;Ingolstadt;MIT;0,6;49;3,6
Collins;Paderborn;ABW;0,4;;
Coordes;St. Pauli;MIT;0,1;;
Cordoba;Köln;STU;0,7;;
Correia;Regensburg;ABW;0,5;10;3,8
Costly;Magdeburg;MIT;0,4;;
Czichos;Köln;ABW;0,8;159;2,9
Daghfous;Sandhausen;MIT;0,5;69;3,5
Danilo;Bochum;ABW;0,5;37;3,7
Daschner;Duisburg;MIT;0,2;8;
Davari;Duisburg;TOR;0,5;10;3,3
David;HSV;MIT;0,1;;
Dehm;Kiel;ABW;0,1;;
Dej;Regensburg;MIT;0,4;;
Derstroff;Regensburg;STU;0,4;3;4,1
Diamantakos;St. Pauli;STU;0,5;35;3,7
Diawusie;Ingolstadt;STU;0,3;;
Dietz;Union;ABW;0,2;0;
Dornebusch;Bochum;TOR;0,3;31;3,1
Dorsch;Heidenheim;MIT;0,3;;
Douglas Santos;HSV;ABW;0,8;;
Dovedan;Heidenheim;STU;0,8;113;3,1
Dräger;Paderborn;MIT;0,2;;
Drawz;HSV;STU;0,1;;
Drexler;Köln;MIT;0,8;233;2,7
Dudziak;St. Pauli;MIT;0,5;51;3,6
